"material_type","county","material_tons_generated_sum_of_all_streams"
"Durable Plastic Items - Other","Napa (Countywide)",657.864927147721
"Remainder / Composite Plastic","Napa (Countywide)",2888.68026010137
"PETE Plastic Containers","Nevada (Countywide)",281.221651810381
"HDPE Plastic Containers","Nevada (Countywide)",178.938636388409
"Miscellaneous Plastic Containers","Nevada (Countywide)",151.620225014899
"Plastic Trash Bags","Nevada (Countywide)",635.386202226969
"Plastic Grocery and Other Merchandise Bags","Nevada (Countywide)",92.5637538220933
"Non-Bag Commercial and Industrial Packaging Film","Nevada (Countywide)",164.881832383972
"Film Products","Nevada (Countywide)",21.3466895103264
"Other Film - Other","Nevada (Countywide)",693.574625029037
"Durable Plastic Items - #2 and #5 Bulky Rigids","Nevada (Countywide)",89.4039726028665
"Durable Plastic Items - Other","Nevada (Countywide)",294.636375158793
"Remainder / Composite Plastic","Nevada (Countywide)",1225.29746287319
"PETE Plastic Containers","Orange (Countywide)",14549.5651670527
"HDPE Plastic Containers","Orange (Countywide)",9376.07051683997
"Miscellaneous Plastic Containers","Orange (Countywide)",8880.74436734591
"Plastic Trash Bags","Orange (Countywide)",33512.4724511161
"Plastic Grocery and Other Merchandise Bags","Orange (Countywide)",5225.34152072682
"Non-Bag Commercial and Industrial Packaging Film","Orange (Countywide)",11379.1229019121
"Film Products","Orange (Countywide)",618.855095417153
"Other Film - Other","Orange (Countywide)",38541.1234276317
"Durable Plastic Items - #2 and #5 Bulky Rigids","Orange (Countywide)",5442.58444697773
"Durable Plastic Items - Other","Orange (Countywide)",17983.4849476956
"Remainder / Composite Plastic","Orange (Countywide)",74319.8904374789
"PETE Plastic Containers","Placer (Countywide)",1377.64333990177
"HDPE Plastic Containers","Placer (Countywide)",921.965005411556
"Miscellaneous Plastic Containers","Placer (Countywide)",782.700665630978
"Plastic Trash Bags","Placer (Countywide)",3338.57529867997
"Plastic Grocery and Other Merchandise Bags","Placer (Countywide)",480.072768759391
"Non-Bag Commercial and Industrial Packaging Film","Placer (Countywide)",981.480956905594
"Film Products","Placer (Countywide)",71.9902993077094
"Other Film - Other","Placer (Countywide)",3721.69508886073
"Durable Plastic Items - #2 and #5 Bulky Rigids","Placer (Countywide)",475.047493488056
"Durable Plastic Items - Other","Placer (Countywide)",1750.79816317013
"Remainder / Composite Plastic","Placer (Countywide)",6898.38075601696
"PETE Plastic Containers","Plumas (Countywide)",58.8670716258001
"HDPE Plastic Containers","Plumas (Countywide)",36.1810585600667
"Miscellaneous Plastic Containers","Plumas (Countywide)",30.5415949789427
"Plastic Trash Bags","Plumas (Countywide)",120.979059362346
"Plastic Grocery and Other Merchandise Bags","Plumas (Countywide)",21.3563482617221
"Non-Bag Commercial and Industrial Packaging Film","Plumas (Countywide)",29.9071823060025
"Film Products","Plumas (Countywide)",3.90472609106147
"Other Film - Other","Plumas (Countywide)",130.72547127855
"Durable Plastic Items - #2 and #5 Bulky Rigids","Plumas (Countywide)",18.2048464516544
"Durable Plastic Items - Other","Plumas (Countywide)",61.5037880283889
"Remainder / Composite Plastic","Plumas (Countywide)",246.415524699443
"PETE Plastic Containers","Riverside (Countywide)",6609.22809929272
"HDPE Plastic Containers","Riverside (Countywide)",4126.81648532579
"Miscellaneous Plastic Containers","Riverside (Countywide)",3329.7559108013
"Plastic Trash Bags","Riverside (Countywide)",14020.0252958269
"Plastic Grocery and Other Merchandise Bags","Riverside (Countywide)",2376.98358268212
"Non-Bag Commercial and Industrial Packaging Film","Riverside (Countywide)",4087.969029782
"Film Products","Riverside (Countywide)",325.471545198751
"Other Film - Other","Riverside (Countywide)",15980.1269057962
"Durable Plastic Items - #2 and #5 Bulky Rigids","Riverside (Countywide)",2113.95319051279
"Durable Plastic Items - Other","Riverside (Countywide)",7375.18164281097
"Remainder / Composite Plastic","Riverside (Countywide)",28045.4012262595
"PETE Plastic Containers","Sacramento (Countywide)",5287.41942929611
"HDPE Plastic Containers","Sacramento (Countywide)",3631.17239284116
"Miscellaneous Plastic Containers","Sacramento (Countywide)",3114.95201755684
"Plastic Trash Bags","Sacramento (Countywide)",12322.800391397
"Plastic Grocery and Other Merchandise Bags","Sacramento (Countywide)",1958.58272581355
"Non-Bag Commercial and Industrial Packaging Film","Sacramento (Countywide)",3548.66424193978
"Film Products","Sacramento (Countywide)",239.147930545953
"Other Film - Other","Sacramento (Countywide)",13530.7819711662
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sacramento (Countywide)",2005.80407228806
"Durable Plastic Items - Other","Sacramento (Countywide)",6644.14298057237
"Remainder / Composite Plastic","Sacramento (Countywide)",25699.0568726435
"PETE Plastic Containers","San Benito (Countywide)",139.752948687999
"HDPE Plastic Containers","San Benito (Countywide)",80.0336677794254
"Miscellaneous Plastic Containers","San Benito (Countywide)",78.9598447317
"Plastic Trash Bags","San Benito (Countywide)",303.909704944105
"Plastic Grocery and Other Merchandise Bags","San Benito (Countywide)",42.1462543931145
"Non-Bag Commercial and Industrial Packaging Film","San Benito (Countywide)",163.963283180475
"Film Products","San Benito (Countywide)",24.525772171455
"Other Film - Other","San Benito (Countywide)",401.365667295804
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Benito (Countywide)",51.8466041571079
"Durable Plastic Items - Other","San Benito (Countywide)",151.496761510075
"Remainder / Composite Plastic","San Benito (Countywide)",620.004345634685
"PETE Plastic Containers","San Bernardino (Countywide)",5999.74709502385
"HDPE Plastic Containers","San Bernardino (Countywide)",3867.22566741635
"Miscellaneous Plastic Containers","San Bernardino (Countywide)",3185.5248898566
"Plastic Trash Bags","San Bernardino (Countywide)",13778.2172296057
"Plastic Grocery and Other Merchandise Bags","San Bernardino (Countywide)",2187.20601160851
"Non-Bag Commercial and Industrial Packaging Film","San Bernardino (Countywide)",4734.3896765877
"Film Products","San Bernardino (Countywide)",295.635027485881
"Other Film - Other","San Bernardino (Countywide)",15728.3412000621
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Bernardino (Countywide)",2052.79767254715
"Durable Plastic Items - Other","San Bernardino (Countywide)",7449.32459335623
"Remainder / Composite Plastic","San Bernardino (Countywide)",28073.1432942784
"PETE Plastic Containers","San Diego (Countywide)",14828.0480784836
"HDPE Plastic Containers","San Diego (Countywide)",9397.26361091157
"Miscellaneous Plastic Containers","San Diego (Countywide)",8585.21775400951
"Plastic Trash Bags","San Diego (Countywide)",31588.7610881782
"Plastic Grocery and Other Merchandise Bags","San Diego (Countywide)",5488.68741973529
"Non-Bag Commercial and Industrial Packaging Film","San Diego (Countywide)",9655.73381116764
"Film Products","San Diego (Countywide)",604.728212639148
"Other Film - Other","San Diego (Countywide)",36605.606500139
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Diego (Countywide)",5220.91213793469
"Durable Plastic Items - Other","San Diego (Countywide)",16941.0355579892
"Remainder / Composite Plastic","San Diego (Countywide)",68231.4919779244
"PETE Plastic Containers","San Francisco (Countywide)",7213.48292543516
"HDPE Plastic Containers","San Francisco (Countywide)",4607.35641137819
"Miscellaneous Plastic Containers","San Francisco (Countywide)",4583.80122598864
